comments,date
I like huawei 😍💚,2020-01-25T02:03:19.000Z
After watching some videos of huawei i can predict that huawei is the futur not Apple.,2020-01-24T21:05:44.000Z
No google apps 😂😂😂,2020-01-22T17:13:53.000Z
cual es el nombre de la musica?<br />what is the name of the music?,2020-01-22T17:10:14.000Z
🤯🤯🤯🤯🤯Waaaw awesome,2020-01-22T03:27:21.000Z
Huawei I have a cool idée what did you think of a camera in the phone like the front but then in the Back side🤯🤔,2020-01-18T14:55:24.000Z
<b>انا اليوم رحت المول وأخذت منه اللون البنفسجي مرررره حلو</b><br />💜💜💜,2020-01-16T15:28:40.000Z
作为中国人，我都觉得华为不如三星苹果,2020-01-16T08:21:14.000Z
Gotta admit this is one of the best phones in the world right now...US should not ban the company<br />They should be able to compete,2020-01-15T21:41:10.000Z
Can I resue this video ?,2020-01-15T11:57:26.000Z
Adorable 😍,2020-01-11T20:46:58.000Z
i always want a huawei and this is a pefect phone (but dont be banned pls),2020-01-11T06:52:24.000Z
Wwwwooooow 👏🏽👏🏽👏🏽👏🏽💪🏽💪🏽💪🏽💪🏽,2020-01-09T20:20:15.000Z
How do I pair  my Huawei  o pr 30  to my Sony srs-xb21 bluetooth  I&#39;m having  difficulty  in trying  to work it pls  help,2020-01-07T18:50:57.000Z
Naah,2020-01-07T09:14:50.000Z
"Can’t beat it, ban it. I hate USA !!!",2020-01-07T01:08:43.000Z
"Here is the link for mobile purchases from the Ali Express website<br /><a href=""https://lite.lc/FRtd2"">https://lite.lc/FRtd2</a>",2020-01-06T12:47:13.000Z
Google udh balik lagi,2020-01-05T01:13:31.000Z
Mate 30X ?,2020-01-04T22:42:43.000Z
I don&#39;t like it&#39;s notch,2020-01-04T15:54:08.000Z
Pls normal s10e card,2020-01-03T18:44:13.000Z
Lol no google,2020-01-03T17:18:09.000Z
Huawei:Phone and Camera<br />Samsung:Phone<br />Apple:Watch,2020-01-03T11:06:43.000Z
That&#39;s amazing display and camera😍,2020-01-02T12:46:53.000Z
Apple is a company but huawei is innovation,2020-01-02T00:49:42.000Z
I want this phone,2019-12-31T03:57:44.000Z
Im watching it from my mate 30 pro from youtube app lol,2019-12-29T19:12:00.000Z
Cool! How many kidneys?,2019-12-27T16:21:10.000Z
What is No Google Mobile Service??? <br />Sent from Mate 30 Pro😎😎,2019-12-26T12:39:22.000Z
i search in google the huawei mate 30 wins agains 11 pro max,2019-12-25T21:41:30.000Z
